"Timestamp","Language / Язык / Լեզու"," Նշեք Ձեր սեռը"," Նշեք Ձեր տարիքային խումբը","Նշեք Ձեր հետաքրքրության ոլորտը","Որտեղ եք մեծացել","Խոհանոցում ունեմ 12 սննդամթերք, որոնք կարող եմ անհատապես ուտել, բայց կարող եմ նաև 2-3 ժամ անցկացնել դրանցից համեղ ուտեստ պատրաստելու համար: Անհատապես կսպառե՞մ  բաղադրիչները, թե՞ կորոշեմ ինձ շատ համեղ ուտեստով հյուրասիրել:","Վերջին 2 տարվա ընթացքում քանի տեղ եք ճանապարհորդել։","Եթե ​​գումար ունենայի, վերջին երկու տարվա ընթացքում քանի՞ տեղ կճանապարհորդեի:","Ես վարում եմ ակտիվ սեռական կյանք","Ինչպիսի՞ն է ձեր տեսակետը մինչամուսնական սեռական հարաբերությունների վերաբերյալ:","Ես նախընտրում եմ վարել ակտիվ սեռական կյանք։","Եթե ​​ինձ 3000 դոլար տային, ինչ կանեի ես... (դուք պարտքեր չունեք)","Ձեզ առաջարկել են երկու աշխատանք ՝ աշխատանք Հայաստանում և աշխատանք այլուր: Կցանկանայի՞ք հեռու լինել ձեր ընտանիքից և հայրենիքից, վայելել ձեր կյանքը այլ երկրում, թե՞ կաշխատեիք Հայաստանում և մոտ կլինեիք ձեր ընտանիքին ու ընկերներին: ( երկու աշխատատեղերը Ձեզ նույն հնարավորությունները կտան)","Եթե ​​իմ զուգընկերը դեմ չլիներ մինչամուսնական սեռական հարաբերություններին, ես նույնպես կհամաձայնվեի:","Ես երբեմն նվերներ եմ գնում ինձ համար, չեմ հապաղում ինքս ինձ վրա գումար ծախսել:","Եթե ​​իմ զուգընկերը համաձայն չլիներ նախամուսնական սեռական հարաբերությունների հետ, ես կսպասեի մինչ ամուսնությունը:","Ես նախընտրում եմ համեղ կերակուրը, քան առողջ սնունդը (ըստ վերջին 3 կերակուրների)","Ես հակված եմ իմպուլսիվ որոշումներ կայացնել ՝ ելնելով իմ ունեցած հենց այդ պահի ցանկություններից։","Ես կնախընտրեի։","Ես նախընտրում եմ ունենալ այնպիսի զուգընկեր, ով","Отметьте ваш пол","Отметьте вашу возрастную группу","Что лучше всего описывает вашу сферу занятости (работа/учёба)?","Где вы выросли?","На кухне есть 12 ингредиентов, которые вы можете употребить раздельно, но также, потратив 2-3 часа, вы можете приготовить вкусное блюдо из этих ингредиентов. Съедите ли вы ингредиенты раздельно или приготовите изысканное вкусное блюдо?","Сколько мест вы посетили за последние 2 года? (путешествия)","Если бы у вас были средства, сколько мест вы бы посетили за последние 2 года? (путешествия)","Я веду активную половую жизнь.","Каковы ваши взгляды на добрачные половые отношения?","Я предпочитаю вести активную половую жизнь:","Если бы мне дали $ 3,000, я бы (у вас нет долгов):","Вам предложили 2 работы; в Армении и в другой стране. Были бы вы вдали от своей семьи и Родины, наслаждаясь жизнью в другой стране, или согласились бы на работу в Армении, будучи рядом со своей семьёй и друзьями?","Если бы мой партнёр НЕ был против добрачных половых отношений, я бы тоже согласился(ась).","Иногда я покупаю подарки для себя; мне не жалко тратить деньги на себя.","Если бы мой партнёр был против добрачных половых отношений, я бы тоже подождал до свадьбы.","Я предпочитаю вкусную еду вместо здоровой (основываясь на последние 3 съеденных мною блюда).","Я склонен (склонна) принимать импульсивные решения, основанные на желаниях, которые я имею в данный момент.","Я бы предпочёл(а) партнёра, который:","Я бы предпочёл(а) партнёра, который:","What is your sex?   ","What is your age group?   ","What best describes your field of interest (where you work/study)?  ","Where did you grow up?   ","In the kitchen, I have 12 foods that I can consume individually, but I can also spend 2-3 hours making a tasty dish out of them. Will I consume the ingredients individually or will I decide to treat myself with a fancy tasty dish?","How many places have I traveled to during the last two years?  ","If I had the money, how many places would I travel to within the last two years?","I am sexually active.  ","What is your view on premarital sex?"," I would rather be sexually active:","If I were given $ 3,000, I would:(you have no debts due)","You were offered two jobs, a job in Armenia, and a job elsewhere. Would you rather be away from your family and your homeland, to enjoy your life in a country elsewhere, or would you take the job in Armenia and be close to your family and friends. (both jobs will let you afford the same things)"," If my partner was okay with premarital sex, I would go along as well."," I sometimes buy gifts for myself, I do not hesitate to spend money on myself.","If my partner was not okay with premarital sex, I would wait until marriage too.","I prefer delicious food over healthy food (according to the last 3 meals)","I tend to make impulsive decisions based on the wishes I have at the exact moment.","I would rather have a:","I would rather have a partner who:"
"2021/03/31 11:15:30 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","17 - 23","Mix of natural and social sciences","Large city (500,000+)","Consume the ingredients individually.","0","3","False","It is okay","Both","Put it in a savings account","I would take the job elsewhere","True","Once in a while","True","True","No","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/03/31 11:24:44 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of arts and sciences","Large city (500,000+)","Consume the ingredients individually.","1","10","False","It is okay","Both","Go shopping, buy things for me and my close ones","I would take the job elsewhere","True","Once in a while","True","True","Yes","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/03/31 11:29:18 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of arts and sciences","Small city","Tasty dish","2","10","False","It is not okay","After marriage","Go shopping, buy things for me and my close ones","I would take the job in Armenia","False","Very true","True","True","No","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/03/31 11:30:07 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Social sciences","Large city (500,000+)","Tasty dish","2","4","False","It is okay","Both","Go shopping, buy things for me and my close ones","I would take the job in Armenia","True","Once in a while","True","False","No","Really good looking partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/03/31 11:31:00 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of arts and sciences","Small city","Tasty dish","0","more than 5","False","It is not okay","After marriage","Go shopping, buy things for me and my close ones","I would take the job in Armenia","False","True","True","True","Yes","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/03/31 11:31:49 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Large city (500,000+)","Tasty dish","2","As many as possible ","False","It is not okay","After marriage","Put it in a savings account","I would take the job elsewhere","False","Very true","True","True","Yes","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/03/31 11:32:01 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Social sciences","Large city (500,000+)","Consume the ingredients individually.","0","3","False","It is okay","Both","Put it in a savings account","I would take the job elsewhere","True","Once in a while","True","True","No","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/03/31 11:32:46 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Male","17 - 23","Mix of arts and sciences","Large city (500,000+)","Tasty dish","0","3","False","It is okay","Both","Put it in a savings account","I would take the job in Armenia","True","Once in a while","False","True","No","Really good looking partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/03/31 11:36:46 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Large city (500,000+)","Consume the ingredients individually.","2 countries ","As much as possible ","False","It is okay","Both","Put it in a savings account","I would take the job elsewhere","True","Once in a while","True","True","No","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/03/31 11:37:35 PM GMT+4","Հայերեն","Իգական","17 - 23","Եվ հասարակական, և բնական գիտություններ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","2","Ինչքան հնարավոր է շատ, ամենաքիչը 4-5","Սխալ է","Դա նորմալ չէ","Ամուսնությունից հետո","Ես կխնայի","Ես կաշխատեի Հայաստանում","Սխալ է","Շատ ճիշտ է","Ճիշտ է","Ճիշտ է","Ոչ","Ունենալ խելացի զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/31 11:38:00 PM GMT+4","Հայերեն","Արական","17 - 23","Եվ հասարակական, և բնական գիտություններ","Փոքր քաղաք","Համեղ ուտեստ","3","2","Ճիշտ է","Դա նորմալ է","Երկուսն էլ","Կգնայի գնումների, կգնեի իրեր իմ ու մտերիմներիս համար","Ես կաշխատեի Հայաստանում","Ճիշտ է","Սխալ է","Ճիշտ է","Ճիշտ է","Այո","Ունենալ գեղեցիկ զուգընկեր","Գնահատում է ավանդույթները և համապատասխանում է հանրային պահանջներին:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/31 11:45:11 PM GMT+4","Հայերեն","Իգական","17 - 23","Հասարակական գիտություններ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","0","10","Սխալ է","Դա նորմալ է","Երկուսն էլ","Ես կխնայի","Ես կաշխատեի Հայաստանում","Ճիշտ է","Ճիշտ է","Ճիշտ է","Ճիշտ է","Այո","Ունենալ խելացի զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/31 11:51:44 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Natural sciences","Large city (500,000+)","Tasty dish","2 countries, 5 cities ","As much as possible ","True","It is okay","Both","Put it in a savings account","I would take the job elsewhere","True","Very true","True","True","Yes","Really good looking partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/03/31 11:53:37 PM GMT+4","Русский","","","","","","","","","","","","","","","","","","","","Мужской","17 - 23","Социальные науки","Большой город (500,000+)","Приготовлю вкусное блюдо","1 ","100","Ложь","Это нормально","Ни один из вариантов","Отправился(ась) за покупками, купил(а) бы что-то себе и близким","Я бы согласился(ась) на работу в Армении","Правда","Иногда","Правда","Правда","Правда","Очень умён","Ценит удовольствие и открыт для идей, вне общественных требований","","","","","","","","","","","","","","","","","","",""
"2021/03/31 11:54:26 PM GMT+4","Հայերեն","Իգական","17 - 23","Եվ գիտություններ և արվեստ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","3","3","Սխալ է","Դա նորմալ չէ","Ամուսնությունից հետո","Կգնայի գնումների, կգնեի իրեր իմ ու մտերիմներիս համար","Ես կաշխատեի Հայաստանում","Սխալ է","Շատ ճիշտ է","Ճիշտ է","Ճիշտ է","Ոչ","Ունենալ խելացի զուգընկեր","Գնահատում է ավանդույթները և համապատասխանում է հանրային պահանջներին:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/31 11:55:25 PM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Social sciences","Large city (500,000+)","Consume the ingredients individually.","I haven’t traveled.","I would like to go to 3-4 countries.","False","It is not okay","After marriage","Go shopping, buy things for me and my close ones","I would take the job in Armenia","False","Once in a while","True","True","Yes","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/03/31 11:55:42 PM GMT+4","Հայերեն","Իգական","17 - 23","Եվ գիտություններ և արվեստ","Փոքր քաղաք","Համեղ ուտեստ","4","20","Սխալ է","Դա նորմալ չէ","Ոչ մեկը","Կգնայի գնումների, կգնեի իրեր իմ ու մտերիմներիս համար","Ես կաշխատեի այլ երկրում","Սխալ է","Ճիշտ է","Ճիշտ է","Ճիշտ է","Ոչ","Ունենալ խելացի զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/31 11:57:17 PM GMT+4","Հայերեն","Արական","17 - 23","Արվեստ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","3","Շատ տեղ չէի գնա, բայց երկար կմնաի","Ճիշտ է","Դա նորմալ է","Երկուսն էլ","Կգնայի գնումների, կգնեի իրեր իմ ու մտերիմներիս համար","Ես կաշխատեի այլ երկրում","Ճիշտ է","Շատ ճիշտ է","Սխալ է","Ճիշտ է","Ոչ","Ունենալ գեղեցիկ զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/31 11:58:32 PM GMT+4","Русский","","","","","","","","","","","","","","","","","","","","Женский","17 - 23","Смесь естественных и социальных наук","Маленький город","Съем ингредиенты раздельно","1","15","Ложь","Это нормально","До брака","Отправился(ась) за покупками, купил(а) бы что-то себе и близким","Я бы согласился(ась) на работу в Армении","Правда","Иногда","Правда","Правда","Правда","Очень умён","Ценит удовольствие и открыт для идей, вне общественных требований","","","","","","","","","","","","","","","","","","",""
"2021/04/01 12:04:11 AM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Arts","Small city","Consume the ingredients individually.","One. ","As much as I can, many. ","True","It is okay","Before marriage","Go shopping, buy things for me and my close ones","I would take the job elsewhere","True","Very true","False","False","Yes","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 12:13:29 AM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Natural sciences","Small city","Tasty dish","1","50","False","It is okay","After marriage","Put it in a savings account","I would take the job elsewhere","False","Very true","True","True","Yes","Really intelligent partner","Values tradition greatly and conforms to the social scripts."
"2021/04/01 12:14:03 AM GMT+4","Հայերեն","Իգական","17 - 23","Բնական գիտություններ","Մեծ քաղաք (500,000+)","Սննդամթերքները կսպառեմ անհատապես","4","4","Սխալ է","Դա նորմալ չէ","Ամուսնությունից հետո","Ես կխնայի","Ես կաշխատեի Հայաստանում","Սխալ է","Ճիշտ է","Ճիշտ է","Ճիշտ է","Ոչ","Ունենալ խելացի զուգընկեր","Գնահատում է ավանդույթները և համապատասխանում է հանրային պահանջներին:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 12:17:08 AM GMT+4","Հայերեն","Իգական","17 - 23","Եվ գիտություններ և արվեստ","Փոքր քաղաք","Համեղ ուտեստ","0","1000000","Սխալ է","Դա նորմալ չէ","Ամուսնությունից հետո","Ես կխնայի","Ես կաշխատեի Հայաստանում","Սխալ է","Մեկ-մեկ","Ճիշտ է","Ճիշտ է","Այո","Ունենալ խելացի զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 12:20:08 AM GMT+4","Հայերեն","Արական","17 - 23","Արվեստ","Մեծ քաղաք (500,000+)","Սննդամթերքները կսպառեմ անհատապես","100","190","Ճիշտ է","Դա նորմալ է","Երկուսն էլ","Կգնայի գնումների, կգնեի իրեր իմ ու մտերիմներիս համար","Ես կաշխատեի Հայաստանում","Ճիշտ է","Շատ ճիշտ է","Սխալ է","Ճիշտ է","Այո","Ունենալ գեղեցիկ զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 12:21:25 AM GMT+4","Русский","","","","","","","","","","","","","","","","","","","","Мужской","17 - 23","Естественные науки","Большой город (500,000+)","Приготовлю вкусное блюдо","2-3 страны и много путешествий внутри родины ","4-5 стран","Ложь","Это нормально","После брака","Отправился(ась) за покупками, купил(а) бы что-то себе и близким","Я бы согласился(ась) на работу в Армении","Правда","Верно","Правда","Правда","Ложь","Очень умён","Ценит традиции и соответствует общественным требованиям","","","","","","","","","","","","","","","","","","",""
"2021/04/01 12:25:24 AM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of natural and social sciences","Small city","Tasty dish","No where","30+ ","False","It is not okay","After marriage","Put it in a savings account","I would take the job elsewhere","False","False","True","False","No","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 12:29:32 AM GMT+4","Հայերեն","Իգական","17 - 23","Հասարակական գիտություններ","Մեծ քաղաք (500,000+)","Համեղ ուտեստ","1","3","Սխալ է","Դա նորմալ չէ","Ամուսնությունից հետո","Ես կխնայի","Ես կաշխատեի այլ երկրում","Սխալ է","Մեկ-մեկ","Ճիշտ է","Ճիշտ է","Այո","Ունենալ գեղեցիկ զուգընկեր","Գնահատում է ավանդույթները և համապատասխանում է հանրային պահանջներին:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 12:30:28 AM GMT+4","Հայերեն","Արական","17 - 23","Հասարակական գիտություններ","Մեծ քաղաք (500,000+)","Սննդամթերքները կսպառեմ անհատապես","2","99999999","Սխալ է","Դա նորմալ չէ","Ամուսնությունից հետո","Կգնայի գնումների, կգնեի իրեր իմ ու մտերիմներիս համար","Ես կաշխատեի Հայաստանում","Սխալ է","Մեկ-մեկ","Սխալ է","Ճիշտ է","Այո","Ունենալ գեղեցիկ զուգընկեր","Գնահատում է ավանդույթները և համապատասխանում է հանրային պահանջներին:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/04/01 12:33:35 AM GMT+4","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Female","17 - 23","Mix of arts and sciences","Rural area","Consume the ingredients individually.","3-4","~10","False","It is okay","Both","Go shopping, buy things for me and my close ones","I would take the job in Armenia","True","Very true","False","False","Yes","Really intelligent partner","Values pleasure greatly and is open to ideas outside of social scripts."
"2021/04/01 12:35:55 AM GMT+4","Հայերեն","Իգական","17 - 23","Եվ հասարակական, և բնական գիտություններ","Մեծ քաղաք (500,000+)","Սննդամթերքները կսպառեմ անհատապես","1","7","Սխալ է","Դա նորմալ չէ","Ամուսնությունից հետո","Ես կխնայի","Ես կաշխատեի Հայաստանում","Սխալ է","Ճիշտ է","Ճիշտ է","Ճիշտ է","Ոչ","Ունենալ խելացի զուգընկեր","Գնահատում է հաճույքը և բաց է նոր գաղափարների համար, որոնք դուրս են հանրային պահանջներից:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
